########################Synthesis Result############################
--------------------------------------------------------------------------------   
Gates                                     4670.668701
FFs                                           66
Arrival time                                   0.20

##########################ATPG Result##############################
--------------------------------------------------------------------------------   
Faults                                  2102
Patterns                                 58
Fault_Coverage                           56.40%
CPU_Runtime                             0.20

#########################X-Fill Result##############################
--------------------------------------------------------------------------------   
PID      X-ratio      0-fill      1-fill      r-fill      my-fill   
   0        96.96             2             0           595              0   
   1        12.12            71            63           103             59   
   2        34.84           155           228           450            155   
   3        80.30           103            35           432             35   
   4        78.78           197           184           608            118   
   5        74.24           107           135           550             84   
   6        40.90           287           260           557            247   
   7        90.90           116             9           540              8   
   8        62.12           202           247           488            189   
   9        75.75            93            74           501             73   
  10        68.18           125           189           591            107   
  11        75.75            70            83           516             55   
  12        77.27            74            58           476             57   
  13        80.30           114           116           540             99   
  14        78.78             3            78           552              3   
  15        80.30            78           130           576             76   
  16        78.78            85           142           504             84   
  17        93.93            57            36           610             30   
  18        87.87            33            70           713             15   
  19        80.30            68           112           423             52   
  20        95.45            33            33           727             16   
  21        93.93            31            56           549             27   
  22        77.27            32            96           446             15   
  23        80.30            70            60           613             15   
  24        93.93            93            34           608             32   
  25        56.06           167           246           495            139   
  26        71.21           109            45           622             45   
  27        72.72            60            45           484             45   
  28        80.30           102            80           593             47   
  29        77.27            36            46           495             21   
  30        92.42            40            46           650             29   
  31        84.84            70           129           495             61   
  32        77.27           165           119           595            105   
  33        95.45            46            34           711             23   
  34        86.36            96            98           556             47   
  35        95.45            50            34           616             25   
  36        84.84           102            97           582             61   
  37        86.36            83           105           577             74   
  38        95.45            40            34           526             20   
  39        95.45            56            34           545             28   
  40        95.45            42            34           616             21   
  41        93.93            58            39           684             29   
  42        95.45            44            34           479             22   
  43        84.84            87           139           395             83   
  44        95.45            79             1           502              1   
  45        95.45            48            34           548             24   
  46        95.45            50            34           552             25   
  47        95.45            52            34           456             26   
  48        95.45            54            34           603             27   
  49        84.84             1           120           468              1   
  50        89.39            95           183           427             95   
  51        75.75            10            77           472              5   
  52        75.75           141           139           568            115   
  53        74.24            56            61           518             32   
  54        83.33            74            78           603             57   
  55        92.42           123            39           443             34   
  56        90.90            17            71           566             12   
  57        83.33           142            58           520             58   
