########################Synthesis Result############################
--------------------------------------------------------------------------------   
Gates                                     9023.385443
FFs                                          121
Arrival time                                  -1.69

##########################ATPG Result##############################
--------------------------------------------------------------------------------   
Faults                                  4648
Patterns                                303
Fault_Coverage                           84.96%
CPU_Runtime                             0.47

#########################X-Fill Result##############################
--------------------------------------------------------------------------------   
PID      X-ratio      0-fill      1-fill      r-fill      my-fill   
   0        67.76           860           957          1739            728   
   1        67.76           842           662          2000            539   
   2        85.12           611           304          1854            304   
   3        71.90           907           963          2270            744   
   4        71.90           971           852          1859            864   
   5        67.76           616           654          1482            452   
   6        62.80           555           497          1623            425   
   7        74.38           623           929          2008            544   
   8        71.90           912           823          1761            694   
   9        71.07           778           678          1839            582   
  10        74.38           488           670          1705            480   
  11        71.07           843           953          1726            693   
  12        91.73           375           318          2210            264   
  13        73.55           588           679          1959            500   
  14        81.81           395           334          1521            227   
  15        80.16           530           451          1925            425   
  16        74.38           686           555          1584            593   
  17        79.33           520           509          2195            358   
  18        67.76           857           792          2187            781   
  19        76.03           526           552          1866            454   
  20        75.20           649           378          1958            364   
  21        68.59           543           504          1744            308   
  22        77.68           423           525          1498            365   
  23        76.03           394           528          1573            335   
  24        74.38           609           958          2015            536   
  25        83.47           306           339          1696            222   
  26        83.47           469           618          2160            317   
  27        72.72           953           963          1954            817   
  28        76.85           764           721          1780            645   
  29        79.33           366           294          1472            193   
  30        74.38           687           541          1775            447   
  31        74.38           706           690          1917            497   
  32        75.20           514           489          1857            361   
  33        91.73           335           377          2145            240   
  34        74.38           466           401          1787            333   
  35        77.68           747           798          2091            613   
  36        72.72           796           748          1684            655   
  37        83.47           340           315          1889            228   
  38        82.64           433           591          1677            408   
  39        81.81           348           533          1764            346   
  40        79.33           482           438          1629            302   
  41        78.51           496           525          1853            267   
  42        81.81           525           424          1900            338   
  43        76.85           458           639          1781            397   
  44        74.38           594           582          1990            464   
  45        80.16           501           548          1903            404   
  46        72.72           846           864          2160            780   
  47        67.76           769           696          1887            595   
  48        84.29           340           500          2116            281   
  49        76.85           230           534          2003            200   
  50        68.59           652           528          1800            474   
  51        78.51           366           273          1435            212   
  52        74.38           815           775          2010            637   
  53        83.47           734           649          1992            598   
  54        80.16           719           592          1810            509   
  55        71.07           972           640          2081            613   
  56        71.07           643           775          2056            641   
  57        77.68           364           692          1707            345   
  58        80.99           638           592          1970            509   
  59        80.99           625           471          1889            419   
  60        80.99           577           427          1780            397   
  61        80.99           511           533          1881            365   
  62        80.16           578           601          1733            521   
  63        80.99           326           469          1720            226   
  64        67.76           473           782          1627            520   
  65        79.33           422           468          1721            298   
  66        85.95           341           469          1944            327   
  67        68.59           692           782          1708            680   
  68        81.81           572           531          1780            445   
  69        81.81           614           425          1970            413   
  70        81.81           501           558          2274            366   
  71        90.90           348           330          1909            225   
  72        79.33           520           672          2018            401   
  73        81.81           386           511          1950            384   
  74        80.99           497           459          1429            368   
  75        78.51           657           734          1707            505   
  76        80.16           580           333          1851            356   
  77        81.81           408           577          1802            406   
  78        82.64           555           447          1953            391   
  79        79.33           595           457          1681            366   
  80        69.42           445           657          1649            412   
  81        79.33           727           549          1683            515   
  82        90.08           334           243          2098            168   
  83        83.47           604           585          1999            542   
  84        83.47           420           221          1424            153   
  85        76.03           586           528          1865            491   
  86        91.73           302           357          1982            240   
  87        66.11          1053          1001          2074            983   
  88        79.33           481           639          1752            405   
  89        82.64           670           444          1620            355   
  90        81.81           361           468          1871            331   
  91        81.81           533           466          1783            347   
  92        77.68           623           703          1927            614   
  93        69.42           506           498          1630            389   
  94        93.38           256           154          1886            209   
  95        82.64           577           482          1823            419   
  96        84.29           738           619          2187            461   
  97        86.77           522           515          1979            496   
  98        81.81           495           405          1613            312   
  99        84.29           586           408          1971            320   
 100        80.99           663           697          2111            661   
 101        81.81           466           411          1858            292   
 102        85.95           393           423          2211            361   
 103        80.99           441           555          1952            356   
 104        80.16           540           569          1871            341   
 105        80.99           545           639          1691            469   
 106        83.47           581           556          2078            469   
 107        80.16           403           528          1864            306   
 108        77.68           631           767          1969            531   
 109        82.64           475           589          1681            473   
 110        81.81           398           551          1905            323   
 111        89.25           219           179          1584            168   
 112        80.99           393           480          1799            269   
 113        82.64           271           325          1301            206   
 114        80.99           475           665          1612            401   
 115        80.16           489           694          1794            431   
 116        90.90           407           273          1965            241   
 117        82.64           460           602          1943            404   
 118        71.90           756           633          1638            597   
 119        81.81           448           463          1700            375   
 120        78.51           601           754          2150            554   
 121        81.81           490           461          1808            369   
 122        85.12           299           440          1621            251   
 123        72.72           459           649          1931            402   
 124        76.03           422           539          1582            373   
 125        82.64           394           496          1637            323   
 126        86.77           396           518          1904            287   
 127        86.77           531           326          1776            236   
 128        80.99           548           374          1652            323   
 129        82.64           542           526          2212            388   
 130        82.64           672           504          1906            433   
 131        80.99           472           656          2017            483   
 132        80.99           529           507          1852            363   
 133        82.64           543           627          1788            499   
 134        80.99           454           552          1920            378   
 135        82.64           491           559          2019            466   
 136        87.60           463           417          1698            278   
 137        83.47           434           527          1771            310   
 138        83.47           329           456          1778            327   
 139        81.81           347           492          1724            313   
 140        85.12           421           390          1883            383   
 141        81.81           327           476          1812            294   
 142        81.81           236           259          1725            166   
 143        82.64           366           365          1784            286   
